,Product Name,Product SKU ID,Product Price,Product Category,Product Image URL,Product Rating,Product Stock,Product Reorder Point,Stockout Flag
0,"Knight, Hale and Fisher Scarf",SKU-ACC-001-S,38.73,Accessories,https://dummyimage.com/730x971,4.0,122,50,0
1,"Knight, Hale and Fisher Scarf",SKU-ACC-001-M,38.73,Accessories,https://dummyimage.com/730x971,4.0,122,50,0
2,"Knight, Hale and Fisher Scarf",SKU-ACC-001-L,38.73,Accessories,https://dummyimage.com/730x971,4.0,122,50,0
3,Mcdonald-Weiss Shorts,SKU-BTM-002-S,47.69,Bottoms,https://placekitten.com/327/339,3.9,187,60,0
4,Mcdonald-Weiss Shorts,SKU-BTM-002-M,47.69,Bottoms,https://placekitten.com/327/339,3.9,187,60,0
5,Mcdonald-Weiss Shorts,SKU-BTM-002-L,47.69,Bottoms,https://placekitten.com/327/339,3.9,187,60,0
6,"Gutierrez, Rogers and Smith Coat",SKU-OUT-003-S,366.31,Outerwear,https://dummyimage.com/740x585,5.0,98,30,0
7,"Gutierrez, Rogers and Smith Coat",SKU-OUT-003-M,366.31,Outerwear,https://dummyimage.com/740x585,5.0,98,30,0
8,"Gutierrez, Rogers and Smith Coat",SKU-OUT-003-L,366.31,Outerwear,https://dummyimage.com/740x585,5.0,98,30,0
9,Lowe-Walters Boots,SKU-FOT-004-S,317.28,Footwear,https://picsum.photos/745/304,1.4,107,40,0
10,Lowe-Walters Boots,SKU-FOT-004-M,317.28,Footwear,https://picsum.photos/745/304,1.4,107,40,0
11,Lowe-Walters Boots,SKU-FOT-004-L,317.28,Footwear,https://picsum.photos/745/304,1.4,107,40,0
12,Castro-Edwards Wrap Dress,SKU-ONP-005-S,263.15,Dresses/One-Pieces,https://placekitten.com/823/106,1.4,122,30,0
13,Castro-Edwards Wrap Dress,SKU-ONP-005-M,263.15,Dresses/One-Pieces,https://placekitten.com/823/106,1.4,122,30,0
14,Castro-Edwards Wrap Dress,SKU-ONP-005-L,263.15,Dresses/One-Pieces,https://placekitten.com/823/106,1.4,122,30,0
15,"West, Jackson and Allen Scarf",SKU-ACC-006-S,356.04,Accessories,https://picsum.photos/174/854,2.1,173,50,0
16,"West, Jackson and Allen Scarf",SKU-ACC-006-M,356.04,Accessories,https://picsum.photos/174/854,2.1,173,50,0
17,"West, Jackson and Allen Scarf",SKU-ACC-006-L,356.04,Accessories,https://picsum.photos/174/854,2.1,173,50,0
18,Chapman-Martin Scarf,SKU-ACC-007-S,175.04,Accessories,https://placekitten.com/637/709,3.6,31,30,0
19,Chapman-Martin Scarf,SKU-ACC-007-M,175.04,Accessories,https://placekitten.com/637/709,3.6,31,30,0
20,Chapman-Martin Scarf,SKU-ACC-007-L,175.04,Accessories,https://placekitten.com/637/709,3.6,31,30,0
21,Hernandez-Roberts Scarf,SKU-ACC-008-S,299.0,Accessories,https://picsum.photos/188/777,3.3,148,50,0
22,Hernandez-Roberts Scarf,SKU-ACC-008-M,299.0,Accessories,https://picsum.photos/188/777,3.3,148,50,0
23,Hernandez-Roberts Scarf,SKU-ACC-008-L,299.0,Accessories,https://picsum.photos/188/777,3.3,148,50,0
24,"Waller, Powell and Garcia Blouse",SKU-TOP-009-S,104.79,Tops,https://dummyimage.com/266x229,4.3,100,50,0
25,"Waller, Powell and Garcia Blouse",SKU-TOP-009-M,104.79,Tops,https://dummyimage.com/266x229,4.3,100,50,0
26,"Waller, Powell and Garcia Blouse",SKU-TOP-009-L,104.79,Tops,https://dummyimage.com/266x229,4.3,100,50,0
27,"Hill, Garcia and Moore Trousers",SKU-BTM-010-S,360.21,Bottoms,https://picsum.photos/526/1002,2.3,64,50,0
28,"Hill, Garcia and Moore Trousers",SKU-BTM-010-M,360.21,Bottoms,https://picsum.photos/526/1002,2.3,64,50,0
29,"Hill, Garcia and Moore Trousers",SKU-BTM-010-L,360.21,Bottoms,https://picsum.photos/526/1002,2.3,64,50,0
30,"Lewis, Thompson and Osborne Blazer",SKU-OUT-011-S,334.55,Outerwear,https://dummyimage.com/927x67,2.6,194,50,0
31,"Lewis, Thompson and Osborne Blazer",SKU-OUT-011-M,334.55,Outerwear,https://dummyimage.com/927x67,2.6,194,50,0
32,"Lewis, Thompson and Osborne Blazer",SKU-OUT-011-L,334.55,Outerwear,https://dummyimage.com/927x67,2.6,194,50,0
33,Morgan and Sons Maxi Dress,SKU-ONP-012-S,78.18,Dresses/One-Pieces,https://dummyimage.com/41x521,1.8,10,30,1
34,Morgan and Sons Maxi Dress,SKU-ONP-012-M,78.18,Dresses/One-Pieces,https://dummyimage.com/41x521,1.8,10,30,1
35,Morgan and Sons Maxi Dress,SKU-ONP-012-L,78.18,Dresses/One-Pieces,https://dummyimage.com/41x521,1.8,10,30,1
36,Sawyer-Hughes Tank Top,SKU-TOP-013-S,408.47,Tops,https://dummyimage.com/822x796,2.2,74,60,0
37,Sawyer-Hughes Tank Top,SKU-TOP-013-M,408.47,Tops,https://dummyimage.com/822x796,2.2,74,60,0
38,Sawyer-Hughes Tank Top,SKU-TOP-013-L,408.47,Tops,https://dummyimage.com/822x796,2.2,74,60,0
39,Barnes-Pruitt Scarf,SKU-ACC-014-S,491.31,Accessories,https://dummyimage.com/964x962,1.5,141,30,0
40,Barnes-Pruitt Scarf,SKU-ACC-014-M,491.31,Accessories,https://dummyimage.com/964x962,1.5,141,30,0
41,Barnes-Pruitt Scarf,SKU-ACC-014-L,491.31,Accessories,https://dummyimage.com/964x962,1.5,141,30,0
42,Wilson-Morales Boots,SKU-FOT-015-S,441.25,Footwear,https://placekitten.com/1013/663,1.2,177,40,0
43,Wilson-Morales Boots,SKU-FOT-015-M,441.25,Footwear,https://placekitten.com/1013/663,1.2,177,40,0
44,Wilson-Morales Boots,SKU-FOT-015-L,441.25,Footwear,https://placekitten.com/1013/663,1.2,177,40,0
45,"Lewis, Hernandez and Perkins Casual Dress",SKU-ONP-016-S,56.3,Dresses/One-Pieces,https://picsum.photos/391/241,2.5,45,60,1
46,"Lewis, Hernandez and Perkins Casual Dress",SKU-ONP-016-M,56.3,Dresses/One-Pieces,https://picsum.photos/391/241,2.5,45,60,1
47,"Lewis, Hernandez and Perkins Casual Dress",SKU-ONP-016-L,56.3,Dresses/One-Pieces,https://picsum.photos/391/241,2.5,45,60,1
48,Villegas-Morris Hoodie,SKU-TOP-017-S,340.54,Tops,https://placekitten.com/694/598,1.7,60,30,0
49,Villegas-Morris Hoodie,SKU-TOP-017-M,340.54,Tops,https://placekitten.com/694/598,1.7,60,30,0
