,Product Ordered,Demand
0,SKU-ACC-005-L,2
1,SKU-ACC-005-M,12
2,SKU-ACC-005-S,12
3,SKU-ACC-010-L,3
4,SKU-ACC-010-M,10
5,SKU-ACC-010-S,22
6,SKU-ACC-013-L,4
7,SKU-ACC-013-M,7
8,SKU-ACC-013-S,19
9,SKU-ACC-015-L,7
10,SKU-ACC-015-M,7
11,SKU-ACC-015-S,13
12,SKU-BTM-004-L,10
13,SKU-BTM-004-M,16
14,SKU-BTM-004-S,9
15,SKU-BTM-008-L,9
16,SKU-BTM-008-M,2
17,SKU-BTM-008-S,18
18,SKU-BTM-016-L,13
19,SKU-BTM-016-M,16
20,SKU-BTM-016-S,13
21,SKU-FOT-017-M,18
22,SKU-FOT-017-S,4
23,SKU-ONP-002-L,10
24,SKU-ONP-002-M,17
25,SKU-ONP-002-S,19
26,SKU-ONP-003-L,28
27,SKU-ONP-003-M,1
28,SKU-ONP-003-S,7
29,SKU-ONP-006-L,12
30,SKU-ONP-006-M,13
31,SKU-ONP-006-S,5
32,SKU-ONP-009-L,5
33,SKU-ONP-009-M,14
34,SKU-ONP-009-S,20
35,SKU-ONP-011-L,18
36,SKU-ONP-011-M,8
37,SKU-ONP-011-S,11
38,SKU-TOP-001-L,8
39,SKU-TOP-001-M,31
40,SKU-TOP-001-S,7
41,SKU-TOP-007-L,5
42,SKU-TOP-007-M,6
43,SKU-TOP-007-S,3
44,SKU-TOP-012-L,25
45,SKU-TOP-012-M,7
46,SKU-TOP-012-S,12
47,SKU-TOP-014-L,29
48,SKU-TOP-014-M,8
49,SKU-TOP-014-S,5
