,Product Name,Product SKU ID,Product Price,Product Category,Product Image URL,Product Rating,Product Stock,Product Reorder Point,Stockout Flag
0,"Macias, Phelps And Sanford Tank Top S",SKU-TOP-001-S,334.41,Tops,https://dummyimage.com/949x451,2.5,6,4,0
1,"Macias, Phelps And Sanford Tank Top M",SKU-TOP-001-M,334.41,Tops,https://dummyimage.com/949x451,3.2,5,2,0
2,"Macias, Phelps And Sanford Tank Top L",SKU-TOP-001-L,334.41,Tops,https://dummyimage.com/949x451,5.0,7,3,0
3,"Bradford, Jones And Taylor Maxi Dress S",SKU-ONP-002-S,166.85,Dresses/One-Pieces,https://dummyimage.com/463x1023,5.0,2,6,1
4,"Bradford, Jones And Taylor Maxi Dress M",SKU-ONP-002-M,166.85,Dresses/One-Pieces,https://dummyimage.com/463x1023,1.8,7,5,0
5,"Bradford, Jones And Taylor Maxi Dress L",SKU-ONP-002-L,166.85,Dresses/One-Pieces,https://dummyimage.com/463x1023,3.5,9,4,0
6,Ross-Lopez Maxi Dress S,SKU-ONP-003-S,313.99,Dresses/One-Pieces,https://picsum.photos/387/427,3.5,5,6,1
7,Ross-Lopez Maxi Dress M,SKU-ONP-003-M,313.99,Dresses/One-Pieces,https://picsum.photos/387/427,4.5,2,5,1
8,Ross-Lopez Maxi Dress L,SKU-ONP-003-L,313.99,Dresses/One-Pieces,https://picsum.photos/387/427,4.8,9,6,0
9,Ruiz And Sons Sneakers S,SKU-FOT-004-S,94.72,Footwear,https://picsum.photos/919/409,2.1,5,3,0
10,Ruiz And Sons Sneakers M,SKU-FOT-004-M,94.72,Footwear,https://picsum.photos/919/409,1.0,10,6,0
11,Ruiz And Sons Sneakers L,SKU-FOT-004-L,94.72,Footwear,https://picsum.photos/919/409,1.5,1,4,1
12,Santana And Sons Wrap Dress S,SKU-ONP-005-S,31.77,Dresses/One-Pieces,https://picsum.photos/982/277,2.1,7,2,0
13,Santana And Sons Wrap Dress M,SKU-ONP-005-M,31.77,Dresses/One-Pieces,https://picsum.photos/982/277,1.1,3,5,1
14,Santana And Sons Wrap Dress L,SKU-ONP-005-L,31.77,Dresses/One-Pieces,https://picsum.photos/982/277,4.1,1,3,1
15,Ball-Parker Casual Dress S,SKU-ONP-006-S,344.0,Dresses/One-Pieces,https://dummyimage.com/736x801,3.3,7,2,0
16,Ball-Parker Casual Dress M,SKU-ONP-006-M,344.0,Dresses/One-Pieces,https://dummyimage.com/736x801,3.9,8,3,0
17,Ball-Parker Casual Dress L,SKU-ONP-006-L,344.0,Dresses/One-Pieces,https://dummyimage.com/736x801,2.1,4,4,0
18,Gonzales-Conner Maxi Dress S,SKU-ONP-007-S,375.48,Dresses/One-Pieces,https://placekitten.com/703/671,3.0,3,5,1
19,Gonzales-Conner Maxi Dress M,SKU-ONP-007-M,375.48,Dresses/One-Pieces,https://placekitten.com/703/671,1.3,5,4,0
20,Gonzales-Conner Maxi Dress L,SKU-ONP-007-L,375.48,Dresses/One-Pieces,https://placekitten.com/703/671,3.6,9,2,0
21,Becker-Aguilar Scarf S,SKU-ACC-008-S,298.9,Accessories,https://placekitten.com/490/240,5.0,3,3,0
22,Becker-Aguilar Scarf M,SKU-ACC-008-M,298.9,Accessories,https://placekitten.com/490/240,1.8,10,6,0
23,Becker-Aguilar Scarf L,SKU-ACC-008-L,298.9,Accessories,https://placekitten.com/490/240,1.6,0,2,1
24,Vasquez Inc Coat S,SKU-OUT-009-S,151.22,Outerwear,https://dummyimage.com/960x835,2.3,10,6,0
